name,rede,cnpj,pais,estado,cidade,endereço,cep,telefone,email,nome contato,observacao
59,Savegnago,71.322.150/0076-87,Brasil,SP,Campinas ,"Av. Almeida Garret, 1073 - Parque Taquaral ",13087-291,17 99143-8263,joao.carlos@savegnago.com.br,João,
Loja 1 Matriz Sertãozinho,Savegnago,71.322.150/0001-60,Brasil,SP,Matriz Sertãozinho,"Av. N. S. Aparecida, 2021, São João / CEP 14170-150",14170-150,17 99143-8263,joao.carlos@savegnago.com.br,João,
Loja 2 Sertãozinho,Savegnago,71.322.150/0004-02,Brasil,SP,Sertãozinho,"Av. Antônio Paschoal, 912, Jd. Brasília / CEP 14170-000",14170-000,17 99143-8263,joao.carlos@savegnago.com.br,João,
Loja 03 Sertãozinho,Savegnago,71.322.150/0005-93,Brasil,SP,Sertãozinho,"Rua Julio Miranda Taveira, 984",14164-174,17 99143-8263,joao.carlos@savegnago.com.br,João,
Loja 4 Sertãozinho,Savegnago,71.322.150/0003-21,Brasil,SP,Sertãozinho,"Rua Washington Luiz, 2549",14166-040,17 99143-8263,joao.carlos@savegnago.com.br,João,
Loja 5 Sertãozinho,Savegnago, 71.322.150/0002-40,Brasil,SP,Sertãozinho,"Av. J. Ferreira Fontes, 507",14177-220,17 99143-8263,joao.carlos@savegnago.com.br,João,
Loja 6 Ribeirão Preto,Savegnago,71.322.150/0006-74,Brasil,SP,Riberão Preto,"Av. Monteiro Lobato, 1335",14030-510,17 99143-8263,joao.carlos@savegnago.com.br,João,
Loja 7 Jardinópolis,Savegnago,71.322.150/0007-55,Brasil,SP,Jardinópolis,"Av. Monteiro Lobato, 1335",14680-000,17 99143-8263,joao.carlos@savegnago.com.br,João,
Loja 8 Ribeirão Preto,Savegnago,71.322.150/0010-50,Brasil,SP,Riberão Preto,"Av. Pio XII, 589",14030-250,17 99143-8263,joao.carlos@savegnago.com.br,João,
Loja 9 Ribeirão Preto,Savegnago,71.322.150/0011-31,Brasil,SP,Riberão Preto,"Rua Javari, 4819",14061-310,17 99143-8263,joao.carlos@savegnago.com.br,João,
